id;name;url;type;auth;description;version;timeout;retry_retries;retry_delay
1;ah;https://sympathetic-tenet.org;JSON;BEARER;teletype brr bashfully;besides;18563;7831;8754
2;overstep;https://physical-pub.org/;JSON;BASIC;crystal;chassis sometimes bah;30900;7298;11500
3;trick;https://these-governance.com/;JSON;BEARER;how oh refresh;hence picture oof;2634;15264;9659
4;tarnish;https://ethical-yellowjacket.net;JSON;OAUTH;pfft searchingly weighty;symptomize;10902;2628;14942
5;beneath boohoo extremely;https://odd-prostanoid.com;JSON;BEARER;worrisome of jaggedly;up;1885;19600;11196
6;urgently;https://plain-skate.net/;NONE;BASIC;trawl sadly besides;which;11635;2137;12788
7;damp yahoo whole;https://splendid-wisteria.info/;NONE;BEARER;jam wag;toward;17869;21790;28452
8;as;https://pessimistic-clavier.name;SOAP;NONE;weakly;ha;13184;15418;26251
9;haze pacemaker wild;https://fickle-daddy.net;NONE;BASIC;modulo softly gadzooks;curtailment gray what;12154;21165;12127
10;furthermore handy that;https://second-axis.net;NONE;OAUTH;metallic yum yuck;under;6070;11266;7181
