id;name;data_type;is_unique;max_length;min_length;min_value;max_value;is_required;transfer_core_mapping;sort_order
4f73bb89-c487-4e29-8bcd-86143d40f7d2;after playfully;LONG;true;6327;25827;forewarn however majestically;green;true;REASON;18434
79dd4416-900e-494d-acd9-08d271715fa2;upon although;NONE;true;18606;20608;pride brown;vow tunic considering;false;CREDIT_ACCOUNT;8611
b491f33b-c9a0-4c70-9a0d-a03b79e5aa2a;freon prestigious;DOUBLE;false;15178;20208;silently insight lobotomy;outplay which jovially;true;NONE;18497
5b0d9665-96fc-4d8b-8b39-171d0dab4609;outside;BOOLEAN;false;32191;13696;among knit where;reprimand ecstatic;true;AMOUNT;21402
64e6082d-a3c1-457e-93b8-85cc86704b65;a since powder;COLLECTION;false;27105;25900;obediently manoeuvre;lox untidy ultimately;true;NONE;640
121ce7cd-3d33-4584-8c13-be6d7d1a5994;whether;NONE;true;10495;4213;sidle daring our;recuperate;false;CREDIT_ACCOUNT;28385
58d5b2bb-c64b-4d66-8b39-f90821b33f06;oof whether;COLLECTION;true;13810;32389;heavenly whisk;active;false;REASON;11897
37cdcf7e-f044-4bc4-a66c-ea48af358e1a;education notwithstanding;LONG;false;29110;501;intently;trembling;true;CREDIT_ACCOUNT;16860
9eccb456-a5cb-4394-97be-c3b03c9f31d4;ill-informed seldom;NONE;true;16947;18889;carelessly caution idolized;minus insistent gladly;false;AMOUNT;29630
61a9ebb7-8678-407c-b248-3815e8929900;warlock conscious;DOUBLE;true;6912;32250;abaft;famously instead;false;CREDIT_ACCOUNT;21697
