id;label;input_interface;width;note;validation_pattern;options;display_options;conditions;translations
1;hence fully;onto distill;given syringe whitewash;apud;till as meh;foment gah;innocent;never wish;shape
2;woot;cameo whoa dapper;supposing;loop;absolute alongside viciously;yowza;colorfully album furniture;brr become;notwithstanding comprehension off
3;worn;tremendously between toward;without whereas;thoroughly on who;yum powerfully;clamber and energetically;pace stew;ack satin judgementally;till than
4;eleventh;concerning grandmom qua;branch ew instantly;since supposing ready;where;phew;given cello;rowdy promptly apprehensive;not
5;um;suspiciously concrete furiously;er prestige whoa;vice;rarely yum;whenever;offensive billet;upon yawning amid;hollow
6;instead;frozen;anxiously unlike;jealously;following cheerfully;stained retrospectivity duh;purchase that sneaker;yippee dull ah;defray workhorse
7;yahoo softly fillet;waste;pancake edify;patiently glory finally;gee;ultimatum urgently openly;nucleotide minus;grant;trigger
8;provided rise indeed;faithful onto;hardship;frustration despite;yippee pretzel nor;broken surcharge finally;vice;esteem biodegradable;aha
9;rosy violently;seemingly till;well-lit notwithstanding daintily;actually;opposite men scientific;silver;past mobilise;meh incidentally;beyond amalgamate yippee
10;baste silence spandex;concerning considering workforce;football mid ouch;shush even what;daintily;huzzah blindfolded;yippee combat primary;white gadzooks;awkwardly
