id;key;value
8d326e96-510d-477f-a5a0-18b646707d48;phooey;circulate unless
7c11cf2f-7fc4-4922-8c1f-79b8d1345086;maim;brr
26bbb160-7b62-4901-ba11-72a9e2127abd;uselessly windy;finally
9d2f76e2-4fa2-44dc-bf81-81bf0f5623e4;within neuter;impossible
775e5a2e-0b3f-4041-a815-39c8479d130e;forenenst hm;scope minus fooey
238ef0dc-2d37-417b-882e-dda3cab8fc1a;why oof regulate;supply
e5543157-60e5-4da1-a813-0c6afe2737e6;upon vote;fooey
b5ed8ffd-bbe2-448f-a8f1-21878b00322c;aboard;woozy
1430ecc7-b72e-4149-8416-a9440a4f9266;nicely;shakily pool openly
ce71dca4-db74-4372-be91-a0699a2da54c;since marimba drinking;nor through
