id;menu_name;menu_description;icon_path;enabled
3b474c13-95eb-4de7-91ff-3f4c996312aa;enlist;mortified stimulating misrepresentation;acidic shawl anenst;false
f0850745-8db1-454f-bc0d-1200eeb95a6a;geez lag;statistics manufacturing metamorphose;earring now kookily;false
4e6ab7e5-a94b-4fc6-97de-6d6bbd0320ac;um versus untidy;if save;weighty physically upon;false
91d3e867-dfb7-4543-8aae-f34ca43ec95c;geography;truly where creche;till swing course;false
21f5a592-a8b1-4334-bdd1-3dd03e14f853;clean;generally justly;dinghy fragrant till;false
58b1cc0e-de8d-4fe5-9eb2-a5fd69a310e8;as catastrophe amusing;velvety alongside past;alliance;true
d9c79aa9-8f10-4294-986e-4ce22da6bdad;limply turbulent;tenderly consequently;judgementally;true
6741c86a-c642-4ac1-b9a7-987ac8cdb344;provided gladly intuition;in supposing tepid;softly;false
162aa75a-2df4-48e4-b2f9-d4f016060341;considering;truthfully;cheddar;true
a33d8900-2435-4c1b-a5ce-5c9abda946aa;excite yum zealous;rosin;sadly exhort gosh;true
