id;operation_name;http_method;endpoint_path;request_body_template
4ae13802-919a-4242-b8fb-83640b7f2070;meanwhile hence gee;POST;ick ill;beside free willfully
1d1098eb-9d3a-4afe-9a4c-9fc9ceb3f503;dim yuck;GET;gee;likewise
20178f5c-7cf4-4423-bd69-161275507b22;any;PATCH;ick;youthful dangerous before
40b52c5f-323c-428e-b0fe-d5f02d2dd864;jubilantly plain normal;OPTIONS;whereas nor furthermore;confess
cada9f0d-e2cf-49b3-8119-421a9524a1d6;protrude befall;PATCH;phooey forenenst mostly;generously aw short
8e194aa5-3efc-4823-897f-fcc57947b526;ready;GET;oust zowie;scourge watchful
48a6c661-7ad8-43ce-be5c-407c170abc5c;beside phew regarding;PATCH;den;silver
51ed8e47-4020-42fb-9461-37ec56030640;what stage;GET;nor winch;quickly save base
a4a35459-5345-4b03-8506-73b5db943411;eek but;PUT;woot;creosote
a1172dec-f3e4-4b17-95d8-5506f9eab353;ah hit of;NONE;mid;buy whoa integrity
