id;computed_payment_detail
5d410e97-29be-4043-a134-fa2b5c56a76a;anxiously duh sprout
af381d0a-5df8-42a4-b345-622d37835a01;descriptive youthfully
b259e8d6-0262-4a51-866c-7ea6ab5858b4;before sugary
d56c6fa4-d865-4aac-ae79-56c53df2c5e6;conscious
01d57ccb-9388-4474-a80f-f07fff24c858;beggar
0826e9fc-37fd-4587-94a2-b3ee6b45f339;unnaturally out
e4b04483-5137-47c0-abb7-db4826cd06fa;pfft blissfully
95da13c9-1464-404d-b336-8d0cef56e1ac;like encumber yowza
87458148-c84a-4c8f-ac38-4cd1ec155228;psst unbearably
bd05300e-0296-4a64-ac34-0ddc5c2bf241;expectation geez posterior
