id;type;name;value_str;data_type
af98cb23-2969-434d-a9a1-0f816bbbfd6c;NONE;mid subtle failing;as mostly;INT
24af8008-bbd7-4d09-843e-9a5063c7f590;USER_INPUT;pretty incubate;meek admire;INT
30c166b9-afcd-4c3b-b596-5e5ac6bcd3a0;FETCH_RESPONSE;out when until;yuck aha;COLLECTION
645d2894-cef0-4b92-8f03-7d6606694927;USER_INPUT;who dresser dollarise;calico pine;DOUBLE
9f15eb3b-02c7-40f0-a19c-f33cf126056f;FETCH_RESPONSE;gliding continent;forceful;NONE
9cd1d967-f18a-4c60-9cfe-487542174b69;FETCH_RESPONSE;loosely mortally;in into after;DATETIME
83dd4fbd-f572-4906-9764-9e4c7297fcd8;NONE;across querulous multiply;unless plus gah;DOUBLE
2a75d43d-7d1c-4399-9adf-83b3e27a9eff;FETCH_RESPONSE;abaft;questionably er impassioned;INT
dab79a4c-d565-441e-99e0-00e784784300;FETCH_RESPONSE;until awkwardly ah;attack really likely;DOUBLE
8c6ece88-c1b1-4c9b-83bd-c5909ac198ed;FETCH_RESPONSE;who hence;given;NONE
